Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,GMAC,TE Off Inv,TE On Inv,tpr_discount_byppg,median_baseprice,tpr_discount_byppg_train,flag_old_mans_day,SI,ITEM_2029_Tander_PromotedDiscount,ITEM_2028_Tander_PromotedDiscount,ITEM_2010_Tander_RegularPrice,Catalogue_Dist,Promo_flg_date_1,wk_sold_median_base_price_byppg_log,pred_vol,Predicted_Volume,Baseline_Prediction,Baseline_Sales,Baseline_GSV,Baseline_Trade_Expense,Baseline_NSV,Baseline_MAC,Baseline_RP
2022-03-20,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.657093863558997,13.85827582655268,15.89658668062437,5.588230625027972,0.0,0,5.481269241258506,9.937933048868889,20700.912261140715,20700.912261140715,4971351.487232272,5733324.659845532,1613472.2257737296,4119852.4340718025,1616594.6173167801,851499.053160469
2022-03-27,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,1.079453085940387,21.10975910627156,0.0,5.588230625027972,0.0,0,5.481269241258506,10.061459860757532,23422.675269634954,23422.675269634954,5624986.477298453,6487144.142678096,1825612.10463247,4661532.038045626,1829145.0292811487,963454.4392528273
2022-04-03,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,1.982096451808331,7.206774572784147,0.0,5.588230625027972,0.0,0,5.481269241258506,10.3208818408071,30360.018498278772,30360.018498278772,7290998.638603017,8408510.723283289,2366323.087746383,6042187.635536905,2370902.3963203263,1248811.0030661114
2022-04-10,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,6.61620992739554,7.78610516297883,16.58761164766538,5.588230625027972,0.0,0,5.481269241258506,11.56419376392896,105260.52682984891,105260.52682984891,25278454.88165874,29152955.510794953,8204224.739847916,20948730.770947035,8220101.556030916,4329724.110711705
2022-04-17,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.806649516948754,19.77667529837491,11.69403734189921,5.588230625027972,0.0,0,5.481269241258506,9.976896336457806,21523.40736308193,21523.40736308193,5168874.774935506,5961122.90327917,1677579.2074408242,4283543.695838346,1680825.6588184414,885331.0790971601
2022-04-24,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.582584689740343,6.245538900785153,0.0,5.588230625027972,0.7493103448275863,0,5.481269241258506,10.997892084093158,59748.06498572274,59748.06498572274,10044003.83834866,16547824.078445768,8224169.280043077,8323654.798402691,1098620.0354537573,1720349.0399459694
2022-05-01,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.562246167418922,5.97233503162764,0.0,5.588230625027972,0.7493103448275863,0,5.481269241258506,10.99263320989089,59434.68217077069,59434.68217077069,9991322.32980101,16461029.57401665,8181032.932108831,8279996.641907819,1092857.6958808284,1711325.6878931914
2022-05-08,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.441753675250957,0.0,0.0,5.588230625027972,0.7493103448275863,0,5.481269241258506,10.96583158705283,57862.893565474464,57862.893565474464,9727095.349589342,16025707.001893807,7964680.225699211,8061026.776194597,1063956.3673827602,1666068.5733947456
2022-05-15,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.438412064258238,13.18511996478099,18.30324723510809,5.588230625027972,0.0,0,5.481269241258506,9.87671809476637,19471.713365294298,19471.713365294298,4676157.744952547,5392885.733651908,1517665.9031643202,3875219.830487588,1520602.8903064094,800937.9144649594
2022-05-22,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.461891335517736,8.760593220338986,21.02066873281243,5.588230625027972,0.0,0,5.481269241258506,9.88481156179569,19629.946499002253,19629.946499002253,4714157.6415109765,5436709.982363664,1529998.9232367824,3906711.059126881,1532959.777240017,807446.5823840955
