,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,wk_sold_median_base_price_byppg_log,tpr_discount_byppg,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice
2019-02-10,0,0,0,2,3.167932131895335,0.0,0.0,100.0,1.087281111079866,0.0,3.209099935321003
2019-02-17,0,0,0,2,3.167932131895335,0.0,0.0,100.0,1.11344768462058,0.0,3.209099935321003
2019-02-24,0,0,0,2,3.167932131895335,0.0,0.0,100.0,1.042442292082865,6.772492019318587,3.209099935321003
2019-03-03,0,0,0,2,3.167932131895335,0.0,0.0,100.0,1.167685124487037,5.661771494232005,3.209099935321003
2019-03-10,0,0,0,2,3.167932131895335,14.1428577048438,1.0,100.0,1.087883126802164,5.477448323366919,3.209099935321003
2019-03-17,0,0,0,2,3.167932131895335,33.00000131130219,1.0,100.0,1.035138275200285,0.0,3.209099935321003
2019-03-24,0,0,0,2,3.167932131895335,18.8571436064584,1.0,100.0,0.9580206543220418,0.0,3.215846213021813
2019-03-31,0,0,0,2,3.16025223848494,0.0,0.0,100.0,0.8376264713828472,0.0,3.215898423832561
2019-04-07,0,0,0,2,3.16025223848494,0.0,0.0,100.0,0.9221955899076488,0.0,3.215898423832561
2019-04-14,0,0,0,2,3.16025223848494,23.57142950807299,0.83,100.0,0.9408312111182648,5.619153408615906,3.215898423832561
2019-04-21,0,0,0,2,3.16025223848494,33.00000131130219,0.83,100.0,0.9445399254326596,6.946240108671232,3.215898423832561
2019-04-28,0,0,0,2,3.16025223848494,33.00000131130219,0.83,100.0,0.9528341044868488,0.0,3.215898423832561
2019-05-05,0,0,0,2,3.16025223848494,33.00000131130219,0.83,100.0,0.9511377401797212,0.0,3.215846213021813
2019-05-12,0,0,0,2,3.16025223848494,9.4285718032292,0.83,100.0,0.942901123103596,0.0,3.215846213021813
2019-05-19,0,0,0,2,3.16025223848494,0.0,0.0,100.0,0.9263982407685368,0.0,3.215846213021813
2019-05-26,0,0,1,2,3.16025223848494,0.0,0.0,100.0,0.9285709571154358,8.126786913494966,3.215846213021813
2019-06-02,0,0,0,2,3.191685650217628,0.0,0.0,100.0,0.9459715121940688,12.49275911863183,3.215846213021813
2019-06-09,0,0,0,2,3.191685650217628,0.0,0.0,100.0,0.9852919758700588,12.71923052783844,3.215846213021813
2019-06-16,0,0,0,2,3.191685650217628,0.0,0.0,100.0,0.9279827236996584,10.47172678348168,3.215846213021813
2019-06-23,0,0,0,2,3.191685650217628,0.0,0.0,100.0,0.9544068445637592,0.0,3.215846213021813
2019-06-30,0,0,0,2,3.272156404756428,0.0,0.0,100.0,1.002604477098611,0.0,3.209425271734357
2019-07-07,0,0,0,2,3.272156404756428,0.0,0.0,100.0,1.049753579607072,0.0,3.200293780325532
2019-07-14,0,0,0,2,3.272156404756428,0.0,0.0,100.0,1.005852655567318,11.14182164613701,3.200293780325532
2019-07-21,0,0,0,2,3.272156404756428,0.0,0.0,100.0,0.947246818490748,7.452238465206086,3.200293780325532
2019-07-28,0,0,0,2,3.26447330458782,0.0,0.0,100.0,0.9451276002971496,0.0,3.200293780325532
2019-08-04,0,0,0,2,3.26447330458782,0.0,0.0,100.0,0.9494087174303384,0.0,3.200293780325532
2019-08-11,0,0,0,2,3.264473304587819,0.0,0.0,100.0,0.9537982716136136,0.0,3.199630691586107
2019-08-18,0,0,0,2,3.264473304587819,0.0,0.0,100.0,0.9912549881923176,0.0,3.183123699133469
