Nielsen SKU Name,Year,PPG Name,Retailer,DATE,Level,Activity name,Mechanic,"Discount, NRV %",Weeknum,TE Off Inv,TE On Inv,COGS,GMAC,PPG,List Price Nov 2019 Price per PC,List Price July 2020 Price per PC,List_Price
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-12-19,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,51,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-12-26,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,52,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
A.Korkunov Assorted Dark&Milk 256g,2021,A.Korkunov 256g,Magnit,2021-02-07,NA,21_SPRING MULTIBRAND,Single price off % discount,0.3,6,0.05,0.2436,199.24694426400308,0.4867304958529857,A.Korkunov 256g,374.3963636363637,388.1916666666667,388.1916666666667
A.Korkunov Assorted Dark&Milk 256g,2021,A.Korkunov 256g,Magnit,2021-02-14,NA,21_SPRING MULTIBRAND,Single price off % discount,0.3,7,0.05,0.2436,199.24694426400308,0.4867304958529857,A.Korkunov 256g,374.3963636363637,388.1916666666667,388.1916666666667
A.Korkunov Assorted Dark&Milk 256g,2021,A.Korkunov 256g,Magnit,2021-02-21,NA,21_SPRING MULTIBRAND,Single price off % discount,0.3,8,0.05,0.2436,199.24694426400308,0.4867304958529857,A.Korkunov 256g,374.3963636363637,388.1916666666667,388.1916666666667
A.Korkunov Assorted Dark&Milk 256g,2021,A.Korkunov 256g,Magnit,2021-02-28,NA,21_SPRING MULTIBRAND,Single price off % discount,0.3,9,0.05,0.2436,199.24694426400308,0.4867304958529857,A.Korkunov 256g,374.3963636363637,388.1916666666667,388.1916666666667
A.Korkunov Assorted Dark&Milk 256g,2021,A.Korkunov 256g,Magnit,2021-03-07,NA,21_SPRING MULTIBRAND,Single price off % discount,0.3,10,0.05,0.2436,199.24694426400308,0.4867304958529857,A.Korkunov 256g,374.3963636363637,388.1916666666667,388.1916666666667
A.Korkunov Assorted Dark&Milk 256g,2021,A.Korkunov 256g,Magnit,2021-11-14,NA,[Unknown],Single price off % discount,0.3,46,0.05,0.2436,199.24694426400308,0.4867304958529857,A.Korkunov 256g,374.3963636363637,388.1916666666667,388.1916666666667
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-03-07,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.15,10,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-03-14,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.15,11,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-03-21,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.15,12,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-03-28,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.15,13,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-04-04,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.15,14,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-08-01,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,Single price off % discount,0.15,31,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
