Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,tpr_discount_byppg,median_baseprice,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,tpr_discount_byppg_train,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,QC,wk_sold_median_base_price_byppg_log,Baseline_Prediction,Baseline_Sales,Baseline_GSV,Baseline_Trade_Expense,Baseline_NSV,Baseline_MAC,Baseline_RP
2021-03-14,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,99.59839357429718,1.035138275200285,6.837077281354665,3.2961429861401768,0,-2,3.3344482204390498,183518.26328556836,3862540.23496497,3751113.3015570175,1808618.033912224,1942495.2676447935,1043102.845659437,1920044.9673201765
2021-03-21,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9580206543220418,0.0,3.2961429861401768,0,-9,3.3344482204390498,186457.79792947503,3924409.122730626,3811197.38967847,1837587.8774204229,1973609.512258047,1059810.9209053447,1950799.6104725788
2021-03-28,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,99.59839357429718,0.8376264713828472,0.0,3.2961429861401768,0,6,3.3344482204390498,176107.72953842385,3706569.4653616687,3599641.9917653836,1735585.3845396389,1864056.6072257448,1000981.9760461856,1842512.858135924
2021-04-04,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,98.79518072289156,0.9221955899076488,8.277770562649456,3.2961429861401768,0,0,3.3344482204390498,96070.70519562923,2696022.056705075,1963685.2141986615,607839.1212030536,1355846.0929956078,885019.5786160281,1340175.963709467
2021-04-11,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9408312111182648,8.722209390395019,3.2961429861401768,0,25,3.3344482204390498,174059.47032546267,3663459.4038339537,3557775.5734524573,1715399.2816179697,1842376.2918344876,989339.8376811157,1821083.111999466
2021-04-18,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9445399254326596,9.672769345050837,3.2961429861401768,0,25,3.3344482204390498,173194.58561784073,3645256.0276577235,3540097.330028665,1706875.628159971,1833221.7018686938,984423.9035199258,1812034.3257890297
2021-04-25,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9528341044868488,6.51040871691283,3.2961429861401768,0,0,3.3344482204390498,177734.86794051374,3740816.1252494045,3632900.700704101,1751621.237347986,1881279.463356115,1010230.4980576469,1859536.6618932895
2021-05-02,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9511377401797212,0.0,3.2961429861401768,0,-3,3.3344482204390498,185879.8941269154,3912245.882683763,3799385.035954151,1831892.492010474,1967492.5439436769,1056526.1628100188,1944753.338740086
2021-05-09,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.942901123103596,0.0,3.2961429861401768,0,9,3.3344482204390498,185190.68432716158,3897739.966301267,3785297.587647183,1825100.1583720278,1960197.429275155,1052608.7505017905,1937542.537026112
2021-05-16,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9263982407685368,0.0,3.2961429861401768,0,0,3.3344482204390498,102858.88057041581,2886517.905548282,2102435.5188592994,650787.8905077075,1451647.628351592,947553.3978227456,1434870.27719669
