,Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,tpr_discount_byppg,median_baseprice,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,tpr_discount_byppg_train,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,QC,wk_sold_median_base_price_byppg_log,Units,Promo Price,Sales,GSV,Trade_Expense,NSV,MAC,RP
12,2021-03-28,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,99.59839357429718,0.8376264713828472,0.0,3.2961429861401768,0,6,3.3344482204390498,98544.73862248109,28.062894419429448,2765450.595552958,2014254.4574435137,623492.3247570652,1390762.1326864485,907810.7928207724,1374688.4628665096
13,2021-04-04,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,98.79518072289156,0.9221955899076488,8.277770562649456,3.2961429861401768,0,0,3.3344482204390498,96070.70519562923,28.062894419429448,2696022.056705075,1963685.2141986615,607839.1212030536,1355846.0929956078,885019.5786160281,1340175.963709467
14,2021-04-11,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,100.0,0.9408312111182648,8.722209390395019,3.2961429861401768,0,25,3.3344482204390498,97398.59262820064,28.062894419429448,2733286.421526214,1990827.2333204213,616240.6618020032,1374586.5715184181,897252.302146378,1358699.850007796
15,2021-04-18,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,100.0,0.9445399254326596,9.672769345050837,3.2961429861401768,0,25,3.3344482204390498,96914.6284224581,28.062894419429448,2719704.985117678,1980935.0049550438,613178.6214337843,1367756.3835212595,892793.9420608627,1351948.6015964185
16,2021-04-25,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,100.0,0.9528341044868488,6.51040871691283,3.2961429861401768,0,0,3.3344482204390498,99455.23771844283,28.062894419429448,2791001.8355519185,2032865.0589649717,629253.0503520173,1403612.0086129545,916198.4644278191,1387389.826938964
17,2021-05-02,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.803,100.0,0.9511377401797212,0.0,3.2961429861401768,0,-3,3.3344482204390498,185870.73732189008,21.047170814572084,3912053.157844279,3799197.8708594334,1831802.2494242303,1967395.6214352031,1056474.1162768397,1944657.5364090758
18,2021-05-09,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.803,100.0,0.942901123103596,0.0,3.2961429861401768,0,9,3.3344482204390498,185181.56147395115,21.047170814572084,3897547.9560514307,3785111.1165275616,1825010.2503893469,1960100.8661382147,1052556.896947959,1937447.089913216
19,2021-05-16,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,100.0,0.9263982407685368,0.0,3.2961429861401768,0,0,3.3344482204390498,183808.40855068414,21.047170814572084,3868646.971920901,3757043.870775984,1811477.4875139948,1945566.3832619893,1044752.0076898446,1923080.5886589116
20,2021-05-23,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,100.0,0.9285709571154358,7.28798970338892,3.2961429861401768,0,0,3.3344482204390498,174837.6666709164,21.047170814572084,3679838.235243994,3573681.906753531,1723068.599750749,1850613.3070027821,993763.0422597324,1829224.9282412117
21,2021-05-30,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,1,3,0.0,0.803,100.0,0.9459715121940688,8.71510470667074,3.2961429861401768,1,0,3.3344482204390498,301182.31218406564,21.047170814572084,6339035.570865804,6156166.461042302,2968226.4400238516,3187940.02101845,1711895.7060563748,3151095.549847354
22,2021-06-06,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9852919758700588,5.070580592043693,3.2961429861401768,0,0,3.3344482204390498,101944.13504766919,28.062894419429448,2860847.4985227976,2083738.1203743583,645000.2977806788,1438737.8225936794,939126.6074142272,1422109.6759291182
23,2021-06-13,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9279827236996584,0.0,3.2961429861401768,0,0,3.3344482204390498,102932.409980812,28.062894419429448,2888581.353628953,2103938.4600077975,651253.1109108136,1452685.349096984,948230.7631826876,1435896.004531969
24,2021-06-20,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9544068445637592,0.0,3.2961429861401768,0,0,3.3344482204390498,104166.42260965829,28.062894419429448,2923211.319744509,2129161.6781414156,659060.7058518938,1470100.9722895217,959598.6961500213,1453110.3474549875
25,2021-06-27,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.002604477098611,0.0,3.2961429861401768,0,0,3.3344482204390498,106455.49067207788,28.062894419429448,2987449.195099078,2175950.2293372722,673543.6339890591,1502406.595348213,980685.9781461379,1485042.599750865
26,2021-07-04,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,100.0,1.049753579607072,0.0,3.2961429861401768,0,0,3.3344482204390498,194324.0672318561,21.047170814572084,4089971.836411265,3971983.934219139,1915111.9138034293,2056872.0204157098,1104522.1542569213,2033099.8159955554
27,2021-07-11,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,100.0,1.005852655567318,0.0,3.2961429861401768,0,0,3.3344482204390498,190514.42211106635,21.047170814572084,4009789.584811102,3894114.7879501963,1877566.9155841272,2016547.8723660691,1082868.4420034178,1993241.712445033
28,2021-07-18,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,100.0,0.947246818490748,0.0,3.2961429861401768,0,-4,3.3344482204390498,103830.59385572516,28.062894419429448,2913786.992879875,2122297.3384110224,656935.9181317479,1465361.4202792747,956504.9848913415,1448425.5726006003
29,2021-07-25,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,100.0,0.9451276002971496,0.0,3.2961429861401768,0,25,3.3344482204390498,103731.40336751226,28.062894419429448,2911003.420681745,2120269.884831951,656308.340150882,1463961.544681069,955591.2253441191,1447041.8760006758
30,2021-08-01,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,100.0,0.9494087174303384,0.0,3.2961429861401768,0,25,3.3344482204390498,103931.87975950079,28.062894419429448,2916629.368503707,2124367.6222841963,657576.7538018501,1466790.8684823462,957438.0477609925,1449838.5000213608
